data_hora,prev_s_pratico,prev_fmc
2025-10-26 21:00:00,12.246555648738147,-119.63268766044621
2025-10-26 22:00:00,12.241257112855193,-119.62513639158797
2025-10-26 23:00:00,12.237916627753814,-119.62014600294657
2025-10-27 00:00:00,12.235647610697145,-119.61682762207796
2025-10-27 01:00:00,12.233964913352732,-119.61460090101212
2025-10-27 02:00:00,12.2326030569393,-119.61308692850182
2025-10-27 03:00:00,12.231416768395821,-119.61203831205039
2025-10-27 04:00:00,12.230326552622314,-119.61129352821966
2025-10-27 05:00:00,12.229288908980216,-119.61074711778417
2025-10-27 06:00:00,12.228280033416747,-119.61033022604175
2025-10-27 07:00:00,12.227286900078786,-119.60999789751321
2025-10-27 08:00:00,12.22630238106878,-119.60972078060685
2025-10-27 09:00:00,12.22532257591871,-119.60947971156432
2025-10-27 10:00:00,12.224345350247342,-119.60926217829991
2025-10-27 11:00:00,12.223369536096566,-119.60906001162849
2025-10-27 12:00:00,12.222394494346192,-119.60886787786008
2025-10-27 13:00:00,12.221419875262255,-119.60868229460964
2025-10-27 14:00:00,12.220445487466284,-119.60850098821558
2025-10-27 15:00:00,12.219471226233763,-119.60832247419624
2025-10-27 16:00:00,12.218497034258228,-119.60814578332825
2025-10-27 17:00:00,12.217522880180915,-119.60797028280224
2025-10-27 18:00:00,12.21654874684195,-119.60779555945471
2025-10-27 19:00:00,12.215574624851246,-119.6076213435298
2025-10-27 20:00:00,12.214600509070445,-119.60744745890288
