data_hora,prev_s_pratico,prev_fmc
2025-10-26 21:00:00,27.55783697193559,-361.64776441301706
2025-10-26 22:00:00,27.55822317458103,-361.63432407093876
2025-10-26 23:00:00,27.55718530704923,-361.6272150721908
2025-10-27 00:00:00,27.556377611238354,-361.6234012095827
2025-10-27 01:00:00,27.555532712892127,-361.62130229459547
2025-10-27 02:00:00,27.554693827572308,-361.62009592098354
2025-10-27 03:00:00,27.553853970370163,-361.6193540689098
2025-10-27 04:00:00,27.553014270252856,-361.618853976227
2025-10-27 05:00:00,27.552174544746006,-361.61847970678036
2025-10-27 06:00:00,27.551334823342852,-361.6181709218084
2025-10-27 07:00:00,27.55049510127642,-361.61789621811255
2025-10-27 08:00:00,27.549655379317198,-361.61763925195487
2025-10-27 09:00:00,27.548815657340644,-361.6173915172667
2025-10-27 10:00:00,27.547975935366892,-361.61714858708007
2025-10-27 11:00:00,27.547136213392687,-361.61690815738757
2025-10-27 12:00:00,27.546296491418556,-361.61666902907274
2025-10-27 13:00:00,27.54545676944441,-361.6164305780575
2025-10-27 14:00:00,27.54461704747027,-361.6161924795416
2025-10-27 15:00:00,27.543777325496126,-361.6159545644834
2025-10-27 16:00:00,27.542937603521985,-361.6157167449054
2025-10-27 17:00:00,27.542097881547843,-361.61547897501987
2025-10-27 18:00:00,27.5412581595737,-361.6152412309967
2025-10-27 19:00:00,27.54041843759956,-361.61500350043355
2025-10-27 20:00:00,27.539578715625417,-361.61476577687563
