data_hora,prev_s_pratico,prev_fmc
2025-10-21 12:00:00,2.0889357993089464,56.18296185737924
2025-10-21 13:00:00,2.0326715812969205,56.18169915584585
2025-10-21 14:00:00,2.000424550243845,56.18038672609708
2025-10-21 15:00:00,1.9821717425335048,56.17906772599633
2025-10-21 16:00:00,1.972073024113518,56.1777478577863
2025-10-21 17:00:00,1.9667254927031026,56.176427874877135
2025-10-21 18:00:00,1.9641463609503447,56.175107876813314
2025-10-21 19:00:00,1.9631803074976153,56.173787876747184
2025-10-21 20:00:00,1.9631541550432212,56.172467876416505
2025-10-21 21:00:00,1.9636756597525593,56.17114787605087
2025-10-21 22:00:00,1.9645162708034358,56.169827875680625
2025-10-21 23:00:00,1.9655428172605365,56.16850787530976
2025-10-22 00:00:00,1.966677703699604,56.167187874938804
2025-10-22 01:00:00,1.9678757171779528,56.16586787456785
2025-10-22 02:00:00,1.9691105132273905,56.1645478741969
2025-10-22 03:00:00,1.970366741575116,56.163227873825946
2025-10-22 04:00:00,1.9716354579952164,56.16190787345499
2025-10-22 05:00:00,1.972911450907532,56.16058787308404
2025-10-22 06:00:00,1.9741916836526552,56.15926787271309
2025-10-22 07:00:00,1.975474386843936,56.157947872342135
2025-10-22 08:00:00,1.9767585295033503,56.15662787197118
2025-10-22 09:00:00,1.9780435109053949,56.15530787160023
2025-10-22 10:00:00,1.9793289810221133,56.153987871229276
2025-10-22 11:00:00,1.9806147359008361,56.15266787085832
